DOLOCATIONID,ZONE_BOROUGH,LATITUDE,LONGITUDE
1,"Newark Airport, EWR",-74.174000,40.690000
2,"Jamaica Bay, Queens",-73.818000,40.612000
3,"Allerton/Pelham Gardens, Bronx",-73.847000,40.864000
4,"Alphabet City, Manhattan",-73.975000,40.724000
5,"Arden Heights, Staten Island",-74.190000,40.557000
6,"Arrochar/Fort Wadsworth, Staten Island",-74.072000,40.601000
7,"Astoria, Queens",-73.919000,40.761000
8,"Astoria Park, Queens",-73.923000,40.778000
9,"Auburndale, Queens",-73.790000,40.750000
10,"Baisley Park, Queens",-73.790000,40.678000
11,"Bath Beach, Brooklyn",-74.009000,40.603000
12,"Battery Park, Manhattan",-74.015000,40.702000
13,"Battery Park City, Manhattan",-74.017000,40.709000
14,"Bay Ridge, Brooklyn",-74.029000,40.625000
15,"Bay Terrace/Fort Totten, Queens",-73.779000,40.791000
16,"Bayside, Queens",-73.768000,40.763000
17,"Bedford, Brooklyn",-73.950000,40.692000
18,"Bedford Park, Bronx",-73.889000,40.869000
19,"Bellerose, Queens",-73.729000,40.735000
20,"Belmont, Bronx",-73.885000,40.859000
21,"Bensonhurst East, Brooklyn",-73.990000,40.597000
22,"Bensonhurst West, Brooklyn",-73.996000,40.609000
23,"Bloomfield/Emerson Hill, Staten Island",-74.191000,40.605000
24,"Bloomingdale, Manhattan",-73.968000,40.803000
25,"Boerum Hill, Brooklyn",-73.986000,40.687000
26,"Borough Park, Brooklyn",-73.988000,40.631000
27,"Breezy Point/Fort Tilden/Riis Beach, Queens",-73.891000,40.561000
28,"Briarwood/Jamaica Hills, Queens",-73.807000,40.712000
29,"Brighton Beach, Brooklyn",-73.961000,40.580000
30,"Broad Channel, Queens",-73.823000,40.603000
31,"Bronx Park, Bronx",-73.875000,40.860000
32,"Bronxdale, Bronx",-73.865000,40.862000
33,"Brooklyn Heights, Brooklyn",-73.996000,40.697000
34,"Brooklyn Navy Yard, Brooklyn",-73.974000,40.703000
35,"Brownsville, Brooklyn",-73.910000,40.664000
36,"Bushwick North, Brooklyn",-73.917000,40.699000
37,"Bushwick South, Brooklyn",-73.924000,40.695000
38,"Cambria Heights, Queens",-73.736000,40.695000
39,"Canarsie, Brooklyn",-73.892000,40.642000
40,"Carroll Gardens, Brooklyn",-73.997000,40.678000
41,"Central Harlem, Manhattan",-73.951000,40.803000
42,"Central Harlem North, Manhattan",-73.937000,40.826000
43,"Central Park, Manhattan",-73.966000,40.782000
44,"Charleston/Tottenville, Staten Island",-74.237000,40.530000
45,"Chinatown, Manhattan",-73.998000,40.712000
46,"City Island, Bronx",-73.786000,40.850000
47,"Claremont/Bathgate, Bronx",-73.900000,40.843000
48,"Clinton East, Manhattan",-73.991000,40.761000
49,"Clinton Hill, Brooklyn",-73.961000,40.690000
50,"Clinton West, Manhattan",-73.997000,40.768000
51,"Co-Op City, Bronx",-73.830000,40.876000
52,"Cobble Hill, Brooklyn",-73.996000,40.687000
53,"College Point, Queens",-73.851000,40.783000
54,"Columbia Street, Brooklyn",-74.004000,40.687000
55,"Coney Island, Brooklyn",-73.988000,40.575000
56,"Corona, Queens",-73.855000,40.746500
57,"Corona, Queens",-73.855000,40.746500
58,"Country Club, Bronx",-73.815000,40.844000
59,"Crotona Park, Bronx",-73.895000,40.838000
60,"Crotona Park East, Bronx",-73.883000,40.835000
61,"Crown Heights North, Brooklyn",-73.936000,40.675000
62,"Crown Heights South, Brooklyn",-73.946000,40.666000
63,"Cypress Hills, Brooklyn",-73.885000,40.681000
64,"Douglaston, Queens",-73.749000,40.763000
65,"Downtown Brooklyn/MetroTech, Brooklyn",-73.985000,40.696000
66,"DUMBO/Vinegar Hill, Brooklyn",-73.988000,40.703000
